Key,Section,Priority for native review,English (source),Thai (current — revise this),Thai revised (native fill),Notes
ped.f3,Pedagogy,High (brand voice),Is this a subscription?,เป็นระบบสมัครสมาชิกหรือไม่?,,
ped.f3p,Pedagogy,High (brand voice),"Yes — monthly (£4.99 / ฿200), or pay once forever (£30 / ฿1,200). Google Play, iOS, and Windows releases are planned.","ใช่ — รายเดือน (฿200 / £4.99) หรือจ่ายครั้งเดียวตลอดชีพ (฿1,200 / £30) มีแผนสำหรับ Google Play, iOS และ Windows",,
about.eyebrow,About,High (brand voice),About the creator,เกี่ยวกับผู้สร้าง,,
about.lead,About,High (brand voice),"Educator, long-term Thailand resident, and designer of Thai Recall — a conversation companion rooted in lived practice and ELT research.",นักการศึกษา ผู้พักอาศัยในไทยระยะยาว และผู้ออกแบบ Thai Recall — เพื่อนคู่ใจในการสนทนาจากประสบการณ์จริงและงานวิจัย ELT,,
about.quote,About,High (brand voice),“True communication happens at the speed of life — not at the speed of a conjugation drill.”,“การสื่อสารจริงเกิดขึ้นด้วยความเร็วของชีวิต — ไม่ใช่ความเร็วของการฝึกผันคำ”,,
about.p1,About,High (brand voice),"Graham’s journey with Thai didn’t begin in a software lab. It began on the ground: living, listening, and discovering that vocabulary alone does not equal real-time speech. In markets, taxis, and cafés near temples, conversations move on while the mind is still assembling grammar.",เส้นทางภาษาไทยของ Graham ไม่ได้เริ่มในแล็บซอฟต์แวร์ เริ่มบนพื้นจริง: ใช้ชีวิต ฟัง และพบว่าคำศัพท์อย่างเดียวไม่เท่าการพูดทัน ในตลาด แท็กซี่ และคาเฟ่ใกล้วัด บทสนทนาเดินต่อในขณะที่สมองยังประกอบไวยากรณ์,,
about.p2,About,High (brand voice),"That gap — knowing what you want to say, but not retrieving it fast enough — became the design brief for Thai Recall.",ช่องว่างนั้น — รู้ว่าอยากพูดอะไร แต่เรียกคืนไม่ทัน — กลายเป็นโจทย์ออกแบบของ Thai Recall,,
about.bg,About,High (brand voice),Background,พื้นหลัง,,
about.bg1,About,High (brand voice),"Graham holds a Master of Education in Educational Technology and ELT from The University of Manchester (2003). That postgraduate foundation shapes the app’s emphasis on communicative competence, situational teaching, desirable difficulties, and spaced retrieval — theory that is meant to survive the noise of everyday Thailand.",Graham จบปริญญาโทด้านเทคโนโลยีการศึกษาและ ELT จากมหาวิทยาลัยแมนเชสเตอร์ (2003) พื้นฐานนี้หล่อหลอมจุดเน้นของแอปเรื่องสมรรถนะการสื่อสาร การสอนตามสถานการณ์ ความยากที่เอื้อต่อการเรียนรู้ และการเรียกคืนแบบเว้นระยะ — ทฤษฎีที่ต้องรอดในเสียงดังของไทยทุกวัน,,
about.bg2,About,High (brand voice),"Phrase packs are curated with care for cultural authenticity, drawing on 40 years of shared Thai heritage at home, so learners practise language people actually use — not stiff textbook Thai alone.",ชุดวลีคัดด้วยความใส่ใจต่อความถูกต้องทางวัฒนธรรม จากมรดกไทยร่วมกันกว่า 40 ปีในบ้าน ให้ผู้เรียนฝึกภาษาที่คนใช้จริง — ไม่ใช่แค่ไทยในตำราแข็ง ๆ,,
about.built,About,High (brand voice),What he built,สิ่งที่เขาสร้าง,,
about.builtP,About,High (brand voice),"Thai Recall treats language as situational stock phrases you can look up, hear through a single earbud, speak immediately, save, and recall later. The guiding question for every feature:",Thai Recall มองภาษาเป็นวลีสำเร็จรูปตามสถานการณ์ ที่ค้นหาได้ ฟังผ่านหูฟังข้างเดียว พูดทันที บันทึก และทบทวนภายหลัง คำถามนำทุกฟีเจอร์คือ:,,
about.guide,About,High (brand voice),Does this help the user stay in the conversation?,สิ่งนี้ช่วยให้ผู้ใช้อยู่ในบทสนทนาต่อหรือไม่?,,
about.ctaApp,About,High (brand voice),Download the app,ดาวน์โหลดแอป,,
about.ctaContact,About,High (brand voice),Contact,ติดต่อ,,
about.support,About,High (brand voice),Support:,ฝ่ายสนับสนุน:,,
dl.eyebrow,Download / Pricing,Low (UI short),Android download,ดาวน์โหลดแอนดรอยด์,,
dl.h1,Download / Pricing,Low (UI short),Get Thai Recall,ดาวน์โหลด Thai Recall,,
dl.lead,Download / Pricing,Medium,Download Thai Recall for Android. Google Play is nearly ready — APK available in the meantime.,ดาวน์โหลด Thai Recall สำหรับแอนดรอยด์ Google Play ใกล้พร้อมแล้ว — ระหว่างนี้มี APK,,
dl.h2,Download / Pricing,Low (UI short),Thai Recall for Android,Thai Recall สำหรับแอนดรอยด์,,
dl.meta,Download / Pricing,Low (UI short),Android 8.0+ · Designed for single Bluetooth earbud use,Android 8.0+ · ออกแบบให้ใช้กับหูฟังบลูทูธข้างเดียว,,
dl.priceH,Download / Pricing,Low (UI short),Pricing,ราคา,,
dl.priceLead,Download / Pricing,Low (UI short),"Monthly subscription, or pay once forever. Billing through Google Play when the listing goes live.",สมัครรายเดือน หรือจ่ายครั้งเดียวตลอดชีพ เรียกเก็บผ่าน Google Play เมื่อหน้าร้านเปิด,,
dl.priceUkH,Download / Pricing,Low (UI short),United Kingdom,สหราชอาณาจักร,,
dl.priceUkMo,Download / Pricing,Low (UI short),£4.99 / month,£4.99 / เดือน,,
dl.priceUkLife,Download / Pricing,Low (UI short),"or £30 once, forever",หรือ £30 จ่ายครั้งเดียว ตลอดชีพ,,
dl.priceThH,Download / Pricing,Low (UI short),Thailand,ประเทศไทย,,
dl.priceThMo,Download / Pricing,Low (UI short),฿200 / month,฿200 / เดือน,,
dl.priceThLife,Download / Pricing,Low (UI short),"or ฿1,200 once, forever","หรือ ฿1,200 จ่ายครั้งเดียว ตลอดชีพ",,
dl.priceNote,Download / Pricing,Low (UI short),Prices shown in local currency for each store region. iOS and Windows releases planned.,ราคาแสดงตามสกุลเงินของแต่ละภูมิภาคร้าน มีแผนสำหรับ iOS และ Windows,,
dl.buy,Download / Pricing,Low (UI short),Google Play (almost ready),Google Play (ใกล้พร้อมแล้ว),,
dl.soon,Download / Pricing,Low (UI short),Google Play is getting very close. Prefer the store when it goes live for easier updates and billing.,Google Play ใกล้พร้อมมาก เมื่อเปิดแล้วแนะนำใช้หน้าร้านเพื่ออัปเดตและชำระเงินง่ายกว่า,,
dl.apk,Download / Pricing,Low (UI short),Download APK,ดาวน์โหลด APK,,
dl.apkSoon,Download / Pricing,Low (UI short),Direct APK is paused. Better to wait for Google Play.,APK โดยตรงถูกพักไว้ แนะนำรอ Google Play,,
dl.gateLabel,Download / Pricing,Low (UI short),Friend access password,รหัสผ่านสำหรับเพื่อน,,
dl.gatePlaceholder,Download / Pricing,Low (UI short),Enter password,ใส่รหัสผ่าน,,
dl.gateBtn,Download / Pricing,Low (UI short),Unlock,ปลดล็อก,,
dl.gateError,Download / Pricing,Low (UI short),Incorrect password. Try again.,รหัสผ่านไม่ถูกต้อง ลองอีกครั้ง,,
dl.gateHint,Download / Pricing,Low (UI short),Private friend builds — Android only. Ask Graham for the password.,บิลด์สำหรับเพื่อน — แอนดรอยด์เท่านั้น ขอรหัสผ่านจาก Graham,,
dl.maintBadge,Download / Pricing,Low (UI short),Soon,เร็ว ๆ นี้,,
dl.maintH,Download / Pricing,Low (UI short),APK download paused,พักดาวน์โหลด APK ชั่วคราว,,
dl.maintP,Download / Pricing,Low (UI short),Direct APK is offline for a short maintenance window. Google Play is nearly ready — worth waiting for the store listing for easier install and updates.,APK โดยตรงปิดชั่วคราวเพื่อบำรุงรักษา Google Play ใกล้พร้อมแล้ว — คุ้มค่ารอหน้าร้านเพื่อติดตั้งและอัปเดตง่ายกว่า,,
dl.androidOnly,Download / Pricing,Medium,APK download is only available on Android phones. Open this page in Chrome on your Android device.,ดาวน์โหลด APK ได้บนโทรศัพท์แอนดรอยด์เท่านั้น เปิดหน้านี้ใน Chrome บนอุปกรณ์แอนดรอยด์ของคุณ,,
dl.apkVer,Download / Pricing,Low (UI short),APK version,เวอร์ชัน APK,,
dl.platformsH,Download / Pricing,Medium,Platforms,แพลตฟอร์ม,,
dl.platforms1,Download / Pricing,Medium,Android — APK now; Google Play nearly ready.,แอนดรอยด์ — มี APK แล้ว; Google Play ใกล้พร้อม,,
dl.platforms2,Download / Pricing,Medium,iOS — future release planned.,iOS — มีแผนเผยแพร่ในอนาคต,,
dl.platforms3,Download / Pricing,Medium,Windows — future release planned.,Windows — มีแผนเผยแพร่ในอนาคต,,
dl.installH,Download / Pricing,Medium,Installing the APK,การติดตั้ง APK,,
dl.install1,Download / Pricing,Medium,Download ThaiRecall.apk on your Android phone (Chrome works well).,ดาวน์โหลด ThaiRecall.apk บนโทรศัพท์แอนดรอยด์ (Chrome ใช้ได้ดี),,
dl.install2,Download / Pricing,Medium,"Open the file. If Android asks, allow installs from this browser / unknown apps for this one install.",เปิดไฟล์ หากแอนดรอยด์ถาม ให้อนุญาตติดตั้งจากเบราว์เซอร์นี้ / แอปที่ไม่รู้จักสำหรับการติดตั้งครั้งนี้,,
dl.install3,Download / Pricing,Medium,"When Google Play is live, that will be the simplest way to install, update, and pay.",เมื่อมี Google Play แล้ว จะเป็นวิธีติดตั้ง อัปเดต และชำระเงินที่ง่ายที่สุด,,
dl.getH,Download / Pricing,Medium,What you get,สิ่งที่คุณได้,,
dl.get1,Download / Pricing,Medium,Personal phrase library with offline access to saved items,คลังวลีส่วนตัว เข้าถึงออฟไลน์ได้สำหรับรายการที่บันทึก,,
dl.get2,Download / Pricing,Medium,"English search, Thai playback, pronunciation, favourites",ค้นหาภาษาอังกฤษ เล่นเสียงไทย วิธีอ่าน รายการโปรด,,
dl.get3,Download / Pricing,Medium,Spaced Repetition memory challenges,ทดสอบความจำแบบทบทวนเว้นระยะ,,
dl.get4,Download / Pricing,Medium,Curated starter packs plus room to grow your own list,ชุดเริ่มต้นที่คัดสรร พร้อมพื้นที่ให้คลังของคุณเติบโต,,
dl.get5,Download / Pricing,Medium,Optional live lookups when a phrase isn’t local yet,ค้นหาสดเมื่อยังไม่มีวลีในเครื่อง,,
dl.privH,Download / Pricing,Medium,Privacy & data,ความเป็นส่วนตัวและข้อมูล,,
dl.priv1,Download / Pricing,Medium,Custom lookups: phrases not found locally may be sent to Google Cloud Translation to return text and support playback.,การค้นหาแบบกำหนดเอง: วลีที่ยังไม่มีในเครื่องอาจถูกส่งไป Google Cloud Translation เพื่อได้ข้อความและรองรับการเล่นเสียง,,
dl.priv2,Download / Pricing,Medium,Storage: your saved phrases and favourites live on your device for fast recall in the field.,การจัดเก็บ: วลีและรายการโปรดอยู่บนอุปกรณ์ของคุณ เพื่อเรียกใช้เร็วในสนาม,,
dl.priv3,Download / Pricing,Medium,Privacy: Thai Recall does not sell your search history or custom phrase data to advertisers. See the,ความเป็นส่วนตัว: Thai Recall ไม่ขายประวัติการค้นหาหรือคลังวลีของคุณให้โฆษณา ดู,,
dl.privLink,Download / Pricing,Medium,privacy page,หน้าความเป็นส่วนตัว,,
dl.footer,Download / Pricing,Medium,© 2026 · Created by Graham Osborn,© 2026 · สร้างโดย Graham Osborn,,
priv.eyebrow,Privacy (site),Medium (legal tone),Legal,กฎหมาย,,
priv.h1,Privacy (site),Medium (legal tone),Privacy,ความเป็นส่วนตัว,,
priv.lead,Privacy (site),Medium (legal tone),How Thai Recall handles lookups and the phrases you save.,Thai Recall จัดการการค้นหาและวลีที่คุณบันทึกอย่างไร,,
priv.lookH,Privacy (site),Medium (legal tone),Lookups,การค้นหา,,
priv.lookP,Privacy (site),Medium (legal tone),"When you search for a phrase that is not already in your local library, the app may send that query to Google Cloud Translation to obtain a translation used for display and speech playback.",เมื่อคุณค้นหาวลีที่ยังไม่มีในคลังท้องถิ่น แอปอาจส่งคำค้นไปยัง Google Cloud Translation เพื่อได้คำแปลสำหรับแสดงผลและเล่นเสียง,,
priv.storeH,Privacy (site),Medium (legal tone),On-device storage,จัดเก็บบนอุปกรณ์,,
priv.storeP,Privacy (site),Medium (legal tone),"Saved phrases, favourites, and spaced-repetition state are stored on your device so you can recall them quickly offline.",วลีที่บันทึก รายการโปรด และสถานะทบทวนแบบเว้นระยะถูกเก็บบนอุปกรณ์ เพื่อให้เรียกคืนเร็วแบบออฟไลน์,,
priv.dontH,Privacy (site),Medium (legal tone),What we don’t do,สิ่งที่เราไม่ทำ,,
priv.dontP,Privacy (site),Medium (legal tone),"Thai Recall does not harvest, sell, or rent your personal search history or custom phrase library to third-party advertisers.",Thai Recall ไม่เก็บเกี่ยว ขาย หรือให้เช่าประวัติการค้นหาหรือคลังวลีส่วนตัวของคุณแก่ผู้โฆษณาภายนอก,,
priv.contactH,Privacy (site),Medium (legal tone),Contact,ติดต่อ,,
priv.contactP,Privacy (site),Medium (legal tone),Questions:,สอบถาม:,,
priv.appLink,Privacy (site),Medium (legal tone),Full Android app Privacy Policy,นโยบายความเป็นส่วนตัวของแอปแอนดรอยด์ฉบับเต็ม,,
apppriv.eyebrow,Privacy (app),Medium (legal tone),Legal · Android app,กฎหมาย · แอปแอนดรอยด์,,
apppriv.h1,Privacy (app),Medium (legal tone),ThaiRecall Privacy Policy,นโยบายความเป็นส่วนตัว ThaiRecall,,
apppriv.updated,Privacy (app),Medium (legal tone),"Last updated: August 20, 2026",อัปเดตล่าสุด: 20 สิงหาคม 2026,,
apppriv.s1h,Privacy (app),Medium (legal tone),1. Introduction,1. บทนำ,,
apppriv.s1p,Privacy (app),Medium (legal tone),"Welcome to ThaiRecall. We respect your privacy and are committed to protecting the personal data of our users. This Privacy Policy explains how we collect, use, and safeguard your information when you use our mobile application.",ยินดีต้อนรับสู่ ThaiRecall เราเคารพความเป็นส่วนตัวและมุ่งปกป้องข้อมูลส่วนบุคคลของผู้ใช้ นโยบายนี้อธิบายวิธีที่เราเก็บ ใช้ และคุ้มครองข้อมูลเมื่อคุณใช้แอปมือถือของเรา,,
apppriv.s2h,Privacy (app),Medium (legal tone),2. Data Collection and Use,2. การเก็บและใช้ข้อมูล,,
apppriv.s2local,Privacy (app),Medium (legal tone),"Local Data: ThaiRecall stores your saved words, phrases, and study progress locally on your device using an internal database. This data is not uploaded to our servers.",ข้อมูลในเครื่อง: ThaiRecall เก็บคำ วลี และความคืบหน้าการเรียนบนอุปกรณ์ของคุณในฐานข้อมูลภายใน ข้อมูลนี้ไม่ถูกอัปโหลดไปยังเซิร์ฟเวอร์ของเรา,,
apppriv.s2lookup,Privacy (app),Medium (legal tone),"Translation & Transliteration: When you use the Lookup or Precision RTGS features, the text you enter is sent to our secure API hosted on Google Cloud to perform the translation and syllable segmentation. This text is processed in real-time and is not stored or linked to your identity.",การแปลและการถอดเสียง: เมื่อใช้ Lookup หรือ Precision RTGS ข้อความที่คุณป้อนจะถูกส่งไปยัง API ที่ปลอดภัยบน Google Cloud เพื่อแปลและแบ่งพยางค์ ข้อความถูกประมวลผลแบบเรียลไทม์ และไม่ถูกเก็บหรือเชื่อมกับตัวตนของคุณ,,
apppriv.s2voice,Privacy (app),Medium (legal tone),Voice Data: The Speak functionality uses the standard Android Text-to-Speech engine. We do not record or collect any audio data from your device.,ข้อมูลเสียง: ฟังก์ชัน Speak ใช้เครื่องมือ Text-to-Speech มาตรฐานของแอนดรอยด์ เราไม่บันทึกหรือเก็บข้อมูลเสียงจากอุปกรณ์ของคุณ,,
apppriv.s3h,Privacy (app),Medium (legal tone),3. Permissions,3. สิทธิ์ที่ขอ,,
apppriv.s3lead,Privacy (app),Medium (legal tone),The app requests the following permissions:,แอปขอสิทธิ์ดังต่อไปนี้:,,
apppriv.s3net,Privacy (app),Medium (legal tone),Internet Access: Required to connect to the translation engine and verify your subscription status.,อินเทอร์เน็ต: จำเป็นเพื่อเชื่อมต่อเครื่องยนต์แปลและตรวจสอบสถานะการสมัครสมาชิก,,
apppriv.s3state,Privacy (app),Medium (legal tone),Network State: Used to check if your device is online before attempting a lookup.,สถานะเครือข่าย: ใช้ตรวจสอบว่าอุปกรณ์ออนไลน์ก่อนพยายามค้นหา,,
apppriv.s3bill,Privacy (app),Medium (legal tone),Billing: Required to process monthly subscriptions and forever (one-off) purchases through the Google Play Store.,การเรียกเก็บเงิน: จำเป็นสำหรับสมัครรายเดือนและการซื้อแบบจ่ายครั้งเดียวตลอดชีพผ่าน Google Play Store,,
apppriv.s4h,Privacy (app),Medium (legal tone),4. Third-Party Services,4. บริการบุคคลที่สาม,,
apppriv.s4lead,Privacy (app),Medium (legal tone),We use the following third-party services which may collect information used to identify you:,เราใช้บริการบุคคลที่สามต่อไปนี้ ซึ่งอาจเก็บข้อมูลที่ใช้ระบุตัวตนคุณ:,,
apppriv.s4play,Privacy (app),Medium (legal tone),Google Play Services: Handles app distribution and security.,Google Play Services: จัดการการเผยแพร่แอปและความปลอดภัย,,
apppriv.s4bill,Privacy (app),Medium (legal tone),Google Play Billing: Processes all financial transactions. We do not see or store your credit card or banking details; these are managed entirely by Google.,Google Play Billing: ดำเนินการธุรกรรมทางการเงินทั้งหมด เราไม่เห็นหรือเก็บรายละเอียดบัตรหรือบัญชีธนาคาร — Google เป็นผู้จัดการทั้งหมด,,
apppriv.s4gcp,Privacy (app),Medium (legal tone),Google Cloud Platform: Hosts our custom transliteration logic.,Google Cloud Platform: โฮสต์ตรรกะการถอดเสียงของเรา,,
apppriv.s5h,Privacy (app),Medium (legal tone),5. Children’s Privacy,5. ความเป็นส่วนตัวของเด็ก,,
apppriv.s5p,Privacy (app),Medium (legal tone),ThaiRecall does not address anyone under the age of 13. We do not knowingly collect personally identifiable information from children.,ThaiRecall ไม่ได้มุ่งเป้าไปที่ผู้ที่มีอายุต่ำกว่า 13 ปี เราไม่เจตนาเก็บข้อมูลที่ระบุตัวตนได้จากเด็ก,,
apppriv.s6h,Privacy (app),Medium (legal tone),6. Data Security,6. ความปลอดภัยของข้อมูล,,
apppriv.s6p,Privacy (app),Medium (legal tone),"We value your trust in providing us your information. We use industry-standard security measures to protect the communication between the app and our APIs. However, please remember that no method of transmission over the internet is 100% secure.",เราให้ความสำคัญกับความไว้วางใจของคุณ เราใช้มาตรการความปลอดภัยตามมาตรฐานอุตสาหกรรมเพื่อปกป้องการสื่อสารระหว่างแอปกับ API ของเรา อย่างไรก็ตาม ไม่มีวิธีส่งข้อมูลผ่านอินเทอร์เน็ตที่ปลอดภัย 100%,,
apppriv.s7h,Privacy (app),Medium (legal tone),7. Changes to This Privacy Policy,7. การเปลี่ยนแปลงนโยบาย,,
apppriv.s7p,Privacy (app),Medium (legal tone),We may update our Privacy Policy from time to time. You are advised to review this page periodically for any changes.,เราอาจอัปเดตนโยบายความเป็นส่วนตัวเป็นครั้งคราว แนะนำให้ตรวจทานหน้านี้เป็นระยะ,,
apppriv.s8h,Privacy (app),Medium (legal tone),8. Contact Us,8. ติดต่อเรา,,
apppriv.s8p,Privacy (app),Medium (legal tone),"If you have any questions or suggestions about our Privacy Policy, contact us at:",หากมีคำถามหรือข้อเสนอแนะเกี่ยวกับนโยบายความเป็นส่วนตัว ติดต่อเราที่:,,
apppriv.siteLink,Privacy (app),Medium (legal tone),Website privacy summary,สรุปความเป็นส่วนตัวของเว็บไซต์,,
apppriv.footer,Privacy (app),Medium (legal tone),© 2026 Thai Recall ·,© 2026 Thai Recall ·,,
